provincia;departamento;sector;ambito;lactantes;deambulantes;s2;s3;s4;s5;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_1314;_snu;v_lactantes;v_deambulantes;v_s2;v_s3;v_s4;v_s5;v_1;v_2;v_3;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;v_1314;v_snu;r_1;r_2;r_3;r_4;r_5;r_6;r_7;r_8;r_9;r_10;r_11;r_12;r_1314;s_lactantes;s_deambulantes;s_s2;s_s3;s_s4;s_s5;s_1;s_2;s_3;s_4;s_5;s_6;s_7;s_8;s_9;s_10;s_11;s_12;s_1314;_seclactantes;_secdeambu;_secs2;_secs3;_secs4;_secs5;_sec1;_sec2;_sec3;_sec4;_sec5;_sec6;_sec7;_sec8;_sec9;_sec10;_sec11;_sec12;_sec1314;multi_ini;multi_pri;multi_sec;multinivel
Buenos Aires;25 DE MAYO;Estatal;Rural; ; ;55;56;76;62;96;103;102;111;120;114;138;127;118;113;108;105; ; ; ; ;34;26;38;36;49;51;58;58;60;56;82;71;84;75;75;63; ; ;0;1;1;3;4;1;0;0;0;0;3;1; ; ; ; ; ; ; ;2;4;1;9;15;9;12;14;9;13;19;13; ;0;0;3;2;3;3;5;4;3;5;7;5;6;6;6;8;8;7;0;10;31;1;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;42;90;288;339;327;378;350;311;334;320;315;358;388;342;376;404;345;264;32;769;23;42;146;181;184;177;176;159;168;159;156;178;203;183;198;192;153;115;25;126;0;0;2;2;1;2;0;0;0;0;0;0;0;6; ; ; ; ; ; ;1;17;23;38;33;68;48;63;104;123;67;6;6;7;16;12;11;13;15;15;14;15;15;16;18;16;15;17;17;15;2;22;7; ;0
Buenos Aires;25 DE MAYO;Privado;Urbano; ; ; ;113;114;123;143;140;155;140;140;143;141;109;124;135;120;104; ; ; ; ; ;50;53;63;67;71;86;77;60;64;67;34;53;61;44;45; ; ;0;0;0;1;2;1;0;1;1;1;0;1; ; ; ; ; ; ; ; ; ;2;3;3;1;4;5;6;14;11;9; ;0;0;0;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;0;0;0; ;0
Buenos Aires;9 DE JULIO;Estatal;Rural; ; ;33;101;109;77;121;133;133;110;115;138;94;105;110;104;110;102;6; ; ; ;13;42;56;37;65;69;72;53;57;69;50;54;53;57;37;52;4; ;0;0;2;4;3;1;1;0;2;0;0;0;0; ; ; ; ; ; ; ; ;8;8;8;10;16;19;20;23;25;24;2;0;0;1;1;2;2;6;5;4;3;3;5;8;7;7;7;5;5;1;21;28;5;0
Buenos Aires;9 DE JULIO;Estatal;Urbano; ; ;54;481;521;517;541;535;526;528;531;546;547;603;635;652;545;409;59;1041; ; ;24;227;251;252;278;253;274;272;269;275;272;327;319;333;271;176;37;212;0;0;0;0;0;0;0;0;1;2;0;1;0; ; ; ; ; ; ; ;1;21;30;37;34;84;136;174;238;190;108; ;0;0;3;19;17;16;22;21;24;23;23;24;29;27;24;25;22;21;4;18;1;3;0
Buenos Aires;9 DE JULIO;Privado;Urbano; ; ; ;124;154;143;164;160;154;162;169;162;132;138;151;148;147;151; ; ; ; ; ;70;71;71;74;69;71;73;76;79;54;75;62;61;69;72; ; ;0;0;0;0;2;0;1;2;0;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2;6;2;2;5;4; ;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;0;0;0; ;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural; ; ;34;40;38;38;39;52;45;54;25;40;36;48;44;41;35;41; ; ; ; ;14;21;22;19;18;28;20;29;18;24;24;24;23;12;16;15; ; ;0;0;0;0;1;3;0;0;0;0;0;0; ; ; ; ; ; ; ; ;1;1;1;3;4;2;5;12;7;2;7; ;0;0;1;1;0;0;1;1;1;2;1;1;3;3;4;3;3;3;0;12;14; ;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;1;1;114;156;170;163;159;158;155;156;146;155;146;152;197;189;170;141;14; ;0;0;62;84;93;81;86;73;81;74;73;84;84;84;94;103;96;84;11; ;0;0;0;1;0;0;0;2;0;0;1;0;0; ; ; ; ; ; ; ;1;5;14;18;19;12;20;27;37;40;28;4;0;0;6;5;4;3;8;8;8;8;7;7;9;9;9;10;9;9;2;12;3;2;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural; ; ;21;39;39;45;50;49;44;47;49;48;50;39;32;59;50;43;4; ; ; ;7;20;22;23;26;21;23;26;23;15;23;19;22;33;23;19;2; ;0;0;0;0;0;0;0;0;0;1;2;1;0; ; ; ; ; ; ; ; ;3; ;2; ;7;9;6;9;10;10; ;0;0;1;1;1;2;2;1;1;1;1;1;3;2;2;4;4;4;1;7;12;2;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano; ;3;95;118;124;122;104;110;97;90;94;114;55;56;62;59;75;54;5;192; ;1;37;65;59;63;47;58;56;45;62;62;31;23;35;39;40;30;4;20;0;0;0;2;0;2;0;0;0;0;0;0;0; ; ; ; ; ; ; ;2;2;3;3;4;7;11;32;10;28;26;1;0;0;5;5;6;6;5;4;4;6;4;5;3;4;4;5;5;4;1;7;2; ;0
Buenos Aires;ALBERTI;Estatal;Rural; ; ;34;38;43;37;37;29;42;44;48;46;38;40;40;21;32;22;7; ; ; ;19;21;31;20;21;15;24;21;22;19;19;28;21;13;16;12;1; ;0;0;1;0;2;2;0;0;0;0;0;0;0; ; ; ; ; ;1; ; ;2;2;4;2;5;6;7;8;15;8;2;0;0;2;1;1;1;2;2;2;2;3;2;2;2;2;2;2;2;1;6;9; ;0
Buenos Aires;ALBERTI;Estatal;Urbano;4;2;52;82;83;89;105;116;108;88;112;103;149;113;99;126;104;100;8; ;2;0;29;45;37;46;54;56;66;47;57;58;81;58;48;63;43;50;8; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ;10;12;12;7;63;42;51;40;34;19;4;0;0;4;4;4;4;5;5;4;4;5;4;7;5;5;6;6;6;1;3;0; ;0
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano; ;6;169;2568;4906;5858;6806;6780;7133;6928;6711;6635;6571;6812;6992;6426;5863;4610;270;1934; ;2;84;1294;2551;3040;3554;3504;3764;3522;3448;3419;3381;3535;3550;3199;2915;2132;184;153;0;0;1;3;1;6;0;1;2;0;2;0;0; ; ; ; ; ;7;30;46;434;774;775;814;1290;1541;2182;2280;2224;1761;81;0;1;6;81;130;182;242;244;242;248;249;248;265;246;223;235;215;195;8;128;0; ;0
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;9;84;223;1540;2461;2996;3138;3242;3217;3158;3159;3099;3089;2978;3037;3010;2891;2762;35;552;7;34;105;806;1205;1528;1589;1563;1568;1533;1551;1535;1443;1382;1426;1392;1333;1259;23;146;0;1;8;6;12;12;0;1;3;2;3;5;0; ; ; ;8; ;1;7;1;17;20;27;47;141;119;192;255;282;274;7;0;5;16;71;84;110;117;117;117;117;119;116;110;105;101;99;99;97;2;67;0; ;0
Buenos Aires;ARRECIFES;Estatal;Rural; ; ;14;24;29;21;48;34;39;42;52;34;27;28;36;26;28;25; ; ; ; ;6;14;11;12;27;18;18;16;27;18;17;11;15;16;17;16; ; ;0;0;0;2;2;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ;3;4;3;8;1;4;12;12;17;12; ;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;5;12; ;0
Buenos Aires;ARRECIFES;Estatal;Urbano;13;41;156;329;458;392;395;381;431;402;415;389;458;541;558;500;369;281;42;132;7;18;80;155;248;206;208;191;227;196;206;205;240;297;286;248;171;110;19;14;0;0;0;2;2;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ;29;39;41;45;45;159;187;203;166;127;10;2;2;5;10;14;13;16;16;17;16;16;17;23;22;20;17;14;13;3;19;0;2;0
Buenos Aires;AVELLANEDA;Estatal;Urbano; ; ;325;2803;3655;3731;3757;3748;4232;3834;3976;3839;3725;4426;4482;3865;3557;2869;283;9413; ; ;149;1429;1857;1875;1937;1925;2188;2035;2086;1955;1932;2347;2379;2064;1770;1421;224;2481;0;0;0;0;0;0;1;3;0;0;1;0;0; ; ; ; ; ;1;57;95;492;616;651;596;821;1554;2017;1790;1810;1255;113;0;0;23;87;90;111;147;148;151;148;148;149;169;166;154;151;134;125;19;132;0; ;0
Buenos Aires;AVELLANEDA;Privado;Urbano;18;86;347;1143;1527;1767;2240;2199;2207;2196;2202;2227;2028;1852;2020;1992;1956;1775; ;837;8;42;180;604;758;856;1081;1033;1157;1095;1085;1099;938;839;921;878;858;794; ;318;0;1;9;3;4;10;0;2;1;3;2;3; ; ;2;2; ; ;3;1;1;21;21;35;27;70;91;130;150;207;180; ;1;6;32;56;62;76;81;84;81;81;80;75;69;67;67;65;66;65;0;36;0; ;0
Buenos Aires;AYACUCHO;Estatal;Rural; ; ;11;23;28;35;49;68;57;65;57;54;32;27;28;33;25;19; ; ; ; ;6;13;16;21;24;36;33;42;28;27;17;14;17;14;14;10; ; ;0;0;2;2;1;0;1;0;0;0;0;0; ; ; ; ; ; ; ;1; ;7;10;9;3;1;4;1;3;3;2; ;0;0;0;1;0;1;2;1;2;1;0;2;2;2;2;2;2;2;0;8;31; ;0
Buenos Aires;AYACUCHO;Estatal;Urbano;4;1;52;266;287;302;275;227;275;244;274;291;345;353;328;355;326;274;38;613;3;0;27;130;152;147;120;106;162;129;154;141;180;163;164;172;152;130;26;139;0;0;0;0;1;0;0;0;0;0;1;2;0; ; ; ; ; ;1; ; ;11;4;10;11;34;46;53;46;42;19;6;0;0;1;8;8;11;12;12;12;12;12;12;16;16;16;16;14;12;2;12;0;1;0
Buenos Aires;AZUL;Estatal;Rural; ; ;12;20;11;12;38;40;35;38;50;46;33;29;26;18;24;17;5; ; ; ;5;12;6;8;19;21;20;21;28;22;17;13;15;14;16;13;3; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;1;2;4;5;6;4;8;4;5;8;6;2;0;0;0;0;0;1;0;0;0;0;2;1;2;2;2;1;1;1;1;11;31;2;0
Buenos Aires;AZUL;Estatal;Urbano;2;5;204;642;685;714;683;707;726;689;698;690;788;797;793;855;850;672;63;1406;1;2;104;340;348;355;312;355;393;351;342;353;422;444;438;454;398;317;49;281;0;0;0;0;4;2;0;0;0;0;0;0;0; ; ; ; ; ; ; ;1;37;58;54;55;219;195;280;405;404;333;19;0;0;9;20;21;24;30;29;30;30;30;30;40;36;30;36;37;36;5;36;7;3;0
Buenos Aires;AZUL;Privado;Urbano;13;21;43;247;246;294;382;375;373;375;371;373;363;382;352;349;330;314; ;262;8;13;21;115;121;145;175;198;181;161;190;188;173;190;186;170;172;151; ;83;0;1;0;3;1;1;1;1;1;3;1;1; ; ; ; ; ; ; ;1;1;1;9;9;3;5;20;13;28;34;21; ;2;1;3;7;7;10;13;13;13;13;13;13;13;13;12;12;12;12;0;6;0; ;0
